px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.39199	-13.1707	-2.68787	0.258348	-1.43414	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.185085
8.22977	-13.1804	-2.70995	0.127659	-1.54688	8.22926	-13.1698	8.2	-13.15	-2.72741	0	1.98265
8.07118	-13.1828	-2.71572	0.0306596	-1.56067	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.293326
7.9252	-13.1848	-2.70544	-0.0419836	-1.5279	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.552279
7.77483	-13.1705	-2.7081	-0.128072	-1.52994	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.0158975
7.67007	-13.2139	-2.62204	-0.0800015	-1.25887	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	14.7864
7.51785	-13.2163	-2.65862	-0.128882	-1.23052	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.830311
7.37448	-13.2023	-2.64737	-0.175591	-1.18103	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.894323
7.21295	-13.1939	-2.67851	-0.219782	-1.14666	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.673509
7.07618	-13.1288	-2.71102	-0.327805	-1.25075	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	2.66751
6.92219	-13.1053	-2.75019	-0.36457	-1.2088	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	1.03623
6.78384	-13.06	-2.73957	-0.413095	-1.17427	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.498397
6.62085	-13.0218	-2.77335	-0.446895	-1.12661	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.907444
6.48609	-13.0083	-2.69909	-0.417947	-0.933372	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.26486
6.32048	-12.983	-2.73068	-0.425066	-0.868215	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.29716
6.18219	-12.9377	-2.71264	-0.441915	-0.804725	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.824803
6.01385	-12.9021	-2.7483	-0.446461	-0.746616	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.14067
5.89828	-12.7822	-2.81564	-0.580423	-0.952442	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	9.16742
5.7435	-12.7218	-2.85863	-0.595647	-0.903808	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.26638
5.61043	-12.6695	-2.80039	-0.581032	-0.765221	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	6.09152
5.46485	-12.6059	-2.81137	-0.595277	-0.725684	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.43997
5.34229	-12.4925	-2.84529	-0.673265	-0.805765	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.73044
5.18802	-12.4216	-2.86906	-0.67679	-0.746907	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.880382
5.06474	-12.3324	-2.85407	-0.700749	-0.712302	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.347126
4.9399	-12.2366	-2.85757	-0.73022	-0.698469	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.0447183
4.83563	-12.1289	-2.8727	-0.777636	-0.722385	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.491584
4.73945	-12.0352	-2.86139	-0.81018	-0.718469	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.171972
4.63641	-11.9104	-2.8767	-0.863664	-0.747034	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.369449
4.57651	-11.7668	-2.85235	-0.947065	-0.809643	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.822534
4.49491	-11.6628	-2.77688	-0.965785	-0.751738	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.38354
4.45663	-11.5319	-2.73665	-1.04423	-0.809542	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	1.42507
4.37434	-11.3639	-2.90254	-1.1226	-0.89254	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	25.9815
4.3673	-11.2008	-2.8912	-1.22919	-0.984071	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	1.34731
4.3592	-11.0648	-2.77981	-1.31513	-1.03916	4.43713	-11.024	4.45	-11.05	0	1.81614	10.817
4.37178	-10.9089	-2.75812	-1.41881	-1.11039	4.45136	-10.93	4.45	-10.95	0	1.81612	1.03513
4.35606	-10.7588	-2.75786	-1.48207	-1.11331	4.44745	-10.786	4.45	-10.8	0	2.72555	0.089896
4.38725	-10.6086	-2.74049	-1.58216	-1.17275	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.920393
4.39085	-10.4609	-2.74214	-1.64072	-1.16137	4.46329	-10.5756	4.45	-10.5	0	2.729	0.256723
4.41785	-10.3155	-2.73502	-1.71551	-1.17843	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.138267
4.44328	-10.1689	-2.73587	-1.77707	-1.17102	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.135771
4.50381	-10.0252	-2.73522	-1.86648	-1.20667	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.358523
4.53013	-9.88081	-2.74314	-1.89557	-1.13191	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	1.06411
4.60138	-9.74095	-2.74753	-1.97602	-1.15648	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.206871
4.61265	-9.58676	-2.76279	-1.95316	-0.983545	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	3.96489
4.69681	-9.44977	-2.77137	-2.02933	-1.01207	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.371809
4.76511	-9.31491	-2.77237	-2.07653	-0.991282	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.337348
4.87596	-9.17386	-2.80731	-2.1571	-1.02073	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.929338
4.95258	-9.05529	-2.8102	-2.20058	-1.00505	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.122007
